id,nombre
1,Python
2,R
3,C++
4,Java
5,MATLAB
6,JavaScript
7,Perl
8,Lua
9,SQL
10,C
11,Fortran
12,C#
13,Visual Basic
14,ML
15,Modula-3
16,Hoc
17,Lisp
18,SemQL
19,Standard ML
20,Scheme
21,COBOL
22,Pico
23,Haskell
24,MetaOCaml
25,OCaml
26,Prolog
27,Octave
28,ActionScript
29,Clojure
30,Common Lisp
31,E
32,Erlang
33,Go
34,PHP
35,Rebol
36,Ruby
37,Scala
38,Cayenne
39,Flow-Caml
40,JFlow
41,Jif
42,Java-K
43,Eqlog
44,FOOPS
45,FP
46,OBJ
47,OBJ2
48,Koka
49,JVML
50,Pascal
51,SML
52,STAL
53,TAL
54,Julia
55,Matlab
56,Gofer
57,SAS
58,Scratch
59,Cecil
60,Eiffel
61,Caml
62,CeML
63,Epic
64,FCMC
65,Facile
66,ID
67,LML
68,Miranda
69,Multilisp
70,Opal
71,RUFL
72,Sisal
73,Stoffel
74,Trafola
75,Java Bytecode
76,Typed Assembly Language
77,InterLisp
78,POST-Prolog
79,Prolog2
80,BASIC-PLUS
81,FORTRAN
82,ProbLog
83,Clean
84,F#
85,MSIL
86,Managed C++
87,VB
88,Rust
89,Lilac
90,SPSS
91,F⋆
92,Groovy
93,SmallEiffel
94,STG
95,LPG
96,PROLOG
97,Datalog
98,Dyna
99,ICL
100,PRISM
101,aProbLog
102,Mixwell
103,RL
104,Refal
105,Spec#
106,Cython
107,Assembly
108,CakeML
109,Racket
110,Smalltalk
111,XAK
112,Curry
113,SNOBOL4
114,PL/SQL
115,Unix Shell Scripting
116,2P-Kt
117,AKL
118,Algol-W
119,Andorra Kernel Language
120,Andorra Prolog
121,CHIP
122,Concurrent Prolog
123,Godel
124,Kotlin
125,LIFE
126,Lambda Prolog
127,Logtalk
128,Mercury
129,Oz
130,Parlog
131,Picat
132,RackLog
133,TypeScript
134,Dafny
135,λML_i
136,Objective Caml
137,Maple
138,AProlog
139,Elf
140,TYPOL
141,iProlog
142,mini-ML
143,Java Card
144,Assembly Language
145,BASIC
146,Shell Scripting
147,Coq
148,CAML
149,GOAL
150,Gwendolen
151,Ada
152,GWENDOLEN
153,Delphi
154,Rexx
155,Tcl
156,ClassicJava
157,MzScheme
158,AspectJ
159,BABEL
160,Simple BABEL
161,Simple Assembly Language
162,ASP
163,Flora-2
164,LPS
165,Lexon
166,PENGASP
167,Solidity
168,PiCAT
169,Mathematica
170,Assembly language
171,Kanren
172,AspectC
173,AspectC++
174,Movec
175,Algol
176,GNU Octave
177,Ginger
178,Agda
179,Answer Set Prolog
180,CR-Prolog
181,Nλ
182,Ladder Diagram
183,Lazy ML
184,FORTRAN IV
185,Idris2
186,Linear Haskell
187,Seq
188,UnityScript
189,IMP
190,Answer Set Programming
191,Disjunctive Logic Programming
192,C--
193,XQuery
194,Visual Prolog
195,CUDA
196,GJ
197,Jass
198,Mini
199,Algol 68
200,Forth
201,PL/I
202,Simula
203,Z80 Assembly
204,LISP
205,XDProlog
206,XProlog
207,Javascript
208,Bash
209,Granule
210,ACL2
211,Just
212,XPand
213,VB.NET
214,Eff
215,Multicore OCaml
216,kProlog
217,tProlog
218,IDL
219,Yorick
220,Transact-SQL
221,Q#
222,xonsh
223,FUNLOG
224,HiLog
225,Rulelog
226,XMLVM
227,Natlog
228,APL
229,CLIPS
230,FIL
231,FLINT
232,Turbo Prolog
233,VHDL
234,Verilog
235,GLSL
236,Turbo Pascal
237,F-Logic
238,Hansi
239,Scilab
240,Dart
241,ALM
242,ALd
243,BC
244,PDDL
245,Plog
246,SPARC
247,STRIPS
248,AgentSpeak
249,Nice
250,FORTRAN-IV
251,Concurrent Haskell
252,PCF
253,ABC
254,Blitz
255,Sinclair BASIC
256,Z80 machine code
257,PARLOG
258,ANGEL
259,Gumtree
260,Qu-Prolog
261,Leda
262,Extended Shared Prolog
263,Shared Prolog
264,Relogo
265,FLIP
266,VBA
267,Idris 2
268,kLog
269,kProbLog
270,Visual Basic .NET
271,Objective-C
272,Boo
273,CDL
274,LET
275,STARLET/GL
276,Emacs Lisp
277,F
278,Basic
279,Smalltalk-80
280,Alice
281,Sather
282,Bousi-Prolog
283,BETA
284,Atari Basic
285,LiveScript
286,8051 assembly language
287,SystemC
288,Cobra
289,CoffeeScript
290,GDScript
291,Nim
292,Swift
293,L
294,Processing
295,ELF
296,FPROLOG
297,Fuzzy Prolog
298,POSLOG
299,PROFIL
300,Scratch Jr.
301,SL5
302,Rascal
303,Jeeg
304,ALGOL
305,ALGOL 60
306,INTERLISP
307,LISP 1.5
308,LISP 1.6
309,LISP/N
310,MLISP
311,VLISP
312,Algol68
313,Palingol
314,SPARQL
315,Beta
316,Emerald
317,Featherweight Java
318,Featherweight Jigsaw
319,Grace
320,J&
321,Jx
322,LOOJ
323,Newspeak
324,Tribe
325,gbeta
326,IGOR Pro
327,LabVIEW
328,MEL
329,Problog
330,JR
331,SR
332,JAC
333,K-MAN DML
334,dBASE II DML
335,Carmel0
336,ColdFusion
337,REBOL
338,Iota
339,m-script
340,CLOC
341,CESIL
342,FORTH
343,The IntelligenT (TIT)
344,SC-0
345,SC-NF
346,XC-cube
347,LDL
348,PICQUERY
349,QBE
350,QPE
351,S9QL
352,TBASIQ
353,CR-Prolog2
354,LPOD
355,YAFL
356,JESS
357,Lingo
358,MuPAD
359,Anemone
360,SAPL
361,CaesarJ
362,Hyper-J
363,CHR
364,CafeOBJ
365,Claire
366,ELAN
367,Maude
368,OBJ3
369,PρLog
370,Stratego
371,ρLog
372,L-system
373,Xtend
374,ALF
375,K-LEAF
376,Kernel LEAF
377,SLOG
378,AWK
379,gnuplot
380,Stata
381,Shell
382,RobotC
383,Chariot
384,Lambda-Prolog
385,Occam-2
386,Self
387,Whiley
388,Scilla
389,Takamaka
390,Visual Basic for Applications
391,T-SQL
392,Jason
393,GluonJ
394,Elixir
395,OAK
396,April
397,DK_Parlog++
398,IC Prolog II
399,Polka
400,AutoHotkey
401,LIQUi|⟩
402,MiniZinc
403,OpenQASM
404,QMASM
405,Quil
406,Quipper
407,Batch
408,Algol-60
409,Assembler
410,Basic4Android
411,Cobol
412,Modula-2
413,Fennel
414,Logo
415,Perl 6
416,Unix shell
417,awk
418,sed
419,Contralog
420,Cypher
421,CSS
422,HTML
423,DEC-10 Prolog
424,OPS5
425,Shimple
426,Fortran 90
427,G
428,CUDA C
429,DAX
430,Isabelle/HOL
431,FoxPro
432,JScript
433,VBScript
434,C_Prolog
435,Env_Prolog
436,Macro Assembly
437,68000 assembly language
438,Z80 machine language
439,FORTRAN 77
440,Guarded Horn Clauses
441,Mu-Prolog
442,Typed Prolog
443,Tom
444,Kodu
445,TURBO PASCAL
446,Fay
447,Idris
448,Nemerle
449,Ceylon
450,Cp#
451,Genus
452,JavaGI
453,Flat Concurrent Prolog
454,Algorithmic C
455,Restricted Algorithmic Rust
456,COMMON LISP
457,Jarrah
458,RealBasic
459,PowerShell
460,Camelot
461,BinProlog
462,JINNI
463,SETL
464,C-Lisp
465,CML
466,Esterel
467,Occam
468,Standard Pascal
469,lambda Prolog
470,Reduce
471,CLP(R)
472,Prolog II
473,SWI Prolog
474,Strawberry Prolog
475,JSP
476,Open PROMOL
477,Mind
478,PostScript
479,JVFH
480,宏汇编语言
481,汇编语言
482,ABCL
483,Obliq
484,POOL
485,LINGO
486,Hyprolog
487,KuMir
488,Pikto
489,Pharo
490,Gnuplot
491,Algol-68
492,XSLT
493,S
494,Visual FoxPro
495,Mojo
496,DiSL
497,Syntheto
498,Micro-Prolog
499,Turbo-Prolog
500,Object COBOL
501,JScript.NET
502,Telescript
503,K-Prolog
504,JACIE AML-TPOT
505,AnyDice
506,Troll
507,lambda-Prolog
508,Prolog4v
509,Verilog HDL
510,Franz-Lisp
511,MicroPython
512,Elm
513,Hy
514,λProlog
515,QML
516,OGJ+
517,Karel
518,SystemVerilog
519,Prolog-KABA
520,VRML
521,C++/CLI
522,Squirrel
523,SL5 Object
524,D
525,Featherweight Generic Java
526,Featherweight Immutable Java
527,Featherweight Ownership Generic Java
528,Planner
529,Jython
530,ELI
531,EVA
532,FemtoLisp
533,LLL
534,M
535,M++
536,Wolfram Language
537,K
538,NCL
